"Symptom";"Run";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
8;1;22;1;0.09090909090909091;0.9166666666666666;1;0.9565217391304348;
8;2;22;1;0.09090909090909091;0.9166666666666666;1;0.9565217391304348;
8;3;23;0.9090909090909091;0;1;0.9090909090909091;0.9523809523809523;
8;4;22;1;0;1;1;1;
8;5;21;1;0.09090909090909091;0.9166666666666666;1;0.9565217391304348;
8;6;22;1;0;1;1;1;
8;7;21;0.5454545454545454;0;1;0.5454545454545454;0.7058823529411764;
8;8;21;0.9090909090909091;0;1;0.9090909090909091;0.9523809523809523;
8;9;20;0.7272727272727273;0;1;0.7272727272727273;0.8421052631578948;
8;10;12;0.7;0.1;0.875;0.7;0.7777777777777777;
"";"";"";"";
"Time (s)";"Positives";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
192;100;44;1;0.03;0.970873786407767;1;0.9852216748768473;
