"Symptom";"Run";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
3;1;1;0;0;0;0;0;
3;2;1;0;0;0;0;0;
3;3;1;0.14285714285714285;0;1;0.14285714285714285;0.25;
3;4;0;0;0;0;0;0;
3;5;1;0;0;0;0;0;
3;6;1;0.14285714285714285;0;1;0.14285714285714285;0.25;
3;7;1;0.14285714285714285;0;1;0.14285714285714285;0.25;
3;8;1;0.42857142857142855;0;1;0.42857142857142855;0.6;
3;9;1;0.14285714285714285;0;1;0.14285714285714285;0.25;
3;10;1;0;0.1;0;0;0;
"";"";"";"";
"Time (s)";"Positives";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
23;56;2;0.17857142857142858;0.01;0.9090909090909091;0.17857142857142858;0.2985074626865672;
