"Symptom";"Run";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
10;1;20;1;0;1;1;1;
10;2;20;1;0;1;1;1;
10;3;19;0.8571428571428571;0;1;0.8571428571428571;0.923076923076923;
10;4;18;0.5714285714285714;0;1;0.5714285714285714;0.7272727272727273;
10;5;20;1;0;1;1;1;
10;6;20;1;0;1;1;1;
10;7;10;0.7142857142857143;0;1;0.7142857142857143;0.8333333333333333;
10;8;19;0.8571428571428571;0;1;0.8571428571428571;0.923076923076923;
10;9;20;1;0;1;1;1;
10;10;11;1;0.2;0.75;1;0.8571428571428571;
"";"";"";"";
"Time (s)";"Positives";"Rules";"TP Rate";"FP Rate";"Precision";"Recall";"F-Measure";
51;59;25;1;0.02;0.9672131147540983;1;0.9833333333333333;
